OrderDate;Country;LineTotal;ProductNumber;Product_name;Size;Class ID;Class name
2011-05-31;DE;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;DE;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;DE;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;FR;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;GB;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;GB;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-05-31;GB;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-06-05;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-06-10;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-06-11;GB;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-06-13;FR;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-06-15;DE;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-06-19;DE;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-06-24;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-06-25;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-06-28;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-06-30;DE;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;DE;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-01;DE;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;DE;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;DE;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;DE;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;FR;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;FR;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;FR;2146.962;BK-R93R-62;Road-150 Red;62;H;High
2011-07-01;FR;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;FR;4293.924;BK-R93R-62;Road-150 Red;62;H;High
2011-07-01;FR;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;FR;4293.924;BK-R93R-62;Road-150 Red;62;H;High
2011-07-01;GB;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;GB;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;GB;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;GB;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;GB;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-07-01;GB;4293.924;BK-R93R-56;Road-150 Red;56;H;High
2011-07-02;FR;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-04;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-07-06;GB;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-08;GB;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-14;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-07-20;DE;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-20;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-24;GB;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-07-26;GB;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-07-26;GB;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-27;DE;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-28;GB;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-29;DE;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-29;DE;3578.27;BK-R93R-62;Road-150 Red;62;H;High
2011-07-29;DE;3578.27;BK-R93R-56;Road-150 Red;56;H;High
2011-07-31;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2011-08-01;DE;8587.848;BK-R93R-62;Road-150 Red;62;H;High
2011-08-01;DE;6440.886;BK-R93R-56;Road-150 Red;56;H;High
2011-08-01;DE;2146.962;BK-R93R-56;Road-150 Red;56;H;High
2011-08-01;DE;4293.924;BK-R93R-62;Road-150 Red;62;H;High
