Order Date;Country ID;Revenue;Product ID;Product Name;Size;Class ID;Class Name
2011-05-31;GB;4049.988;BK-M82B-38;Mountain-100 Black;38;H;High
2011-05-31;GB;2039.994;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-05-31;GB;12149.964;BK-M82B-44;Mountain-100 Black;44;H;High
2011-05-31;GB;1445.1898;FR-M94S-38;HL Mountain Frame - Silver;38;H;High
2011-05-31;GB;722.5949;FR-M94S-46;HL Mountain Frame - Silver;46;H;High
2011-05-31;US;3399.99;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-05-31;US;2039.994;BK-M82S-38;Mountain-100 Silver;38;H;High
2011-05-31;US;6119.982;BK-M82S-38;Mountain-100 Silver;38;H;High
2011-05-31;US;2024.994;BK-M82B-42;Mountain-100 Black;42;H;High
2011-05-31;US;714.7043;FR-M94B-38;HL Mountain Frame - Black;38;H;High
2011-05-31;US;4049.988;BK-M82B-42;Mountain-100 Black;42;H;High
2011-05-31;US;4049.988;BK-M82B-42;Mountain-100 Black;42;H;High
2011-05-31;US;8099.976;BK-M82B-38;Mountain-100 Black;38;H;High
2011-05-31;US;714.7043;FR-M94B-38;HL Mountain Frame - Black;38;H;High
2011-05-31;US;10124.97;BK-M82B-44;Mountain-100 Black;44;H;High
2011-06-01;US;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-06-04;GB;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-06-05;US;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-06-08;GB;3399.99;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-06-08;US;3399.99;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-06-14;US;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-06-21;US;3399.99;BK-M82S-38;Mountain-100 Silver;38;H;High
2011-06-23;GB;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-06-26;US;3374.99;BK-M82B-44;Mountain-100 Black;44;H;High
2011-06-30;US;3578.27;BK-R93R-44;Road-150 Red;44;H;High
2011-07-01;GB;1445.1898;FR-M94S-46;HL Mountain Frame - Silver;46;H;High
2011-07-01;GB;2039.994;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-07-01;GB;4049.988;BK-M82B-38;Mountain-100 Black;38;H;High
2011-07-01;GB;1429.4086;FR-M94B-38;HL Mountain Frame - Black;38;H;High
2011-07-01;GB;10199.97;BK-M82S-42;Mountain-100 Silver;42;H;High
2011-07-01;GB;8099.976;BK-M82B-42;Mountain-100 Black;42;H;High
2011-07-01;GB;1429.4086;FR-M94B-42;HL Mountain Frame - Black;42;H;High
2011-07-01;GB;2167.7847;FR-M94S-46;HL Mountain Frame - Silver;46;H;High
2011-07-01;GB;23663.9304;BK-M82S-44;Mountain-100 Silver;44;H;High
2011-07-01;GB;25447.4246;BK-M82B-38;Mountain-100 Black;38;H;High
2011-07-01;GB;1429.4086;FR-M94B-42;HL Mountain Frame - Black;42;H;High
2011-07-01;GB;6119.982;BK-M82S-38;Mountain-100 Silver;38;H;High
2011-07-01;GB;20249.94;BK-M82B-44;Mountain-100 Black;44;H;High
