Auftragsdatum;Länder ID;Einnahmen;Produkt ID;Produktname;Größe;Klassen ID;Klassenname
2012-01-01;DE;6440.886;BK-R93R-48;Road-150 Red;48;H;High
2012-01-01;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;4293.924;BK-R93R-52;Road-150 Red;52;H;High
2012-01-01;DE;1637.4;FR-M94S-52;HL Mountain Frame - Silver;48;H;High
2012-01-01;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;2146.962;BK-R93R-48;Road-150 Red;48;H;High
2012-01-01;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;818.7;FR-M94S-52;HL Mountain Frame - Silver;48;H;High
2012-01-01;DE;2146.962;BK-R93R-52;Road-150 Red;52;H;High
2012-01-01;DE;2146.962;BK-R93R-48;Road-150 Red;48;H;High
2012-01-01;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-01;DE;4293.924;BK-R93R-48;Road-150 Red;48;H;High
2012-01-01;DE;2146.962;BK-R93R-52;Road-150 Red;52;H;High
2012-01-08;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-01-10;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2012-01-13;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-01-14;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-01-15;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-01-23;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2012-01-29;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-29;DE;2456.1;FR-M94S-52;HL Mountain Frame - Silver;48;H;High
2012-01-29;DE;818.7;FR-M94S-52;HL Mountain Frame - Silver;48;H;High
2012-01-29;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-29;DE;8587.848;BK-R93R-48;Road-150 Red;48;H;High
2012-01-29;DE;2039.994;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-01-29;DE;8099.976;BK-M82B-48;Mountain-100 Black;48;H;High
2012-01-29;DE;2456.1;FR-M94S-52;HL Mountain Frame - Silver;48;H;High
2012-01-29;DE;2146.962;BK-R93R-48;Road-150 Red;48;H;High
2012-02-02;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-02-11;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-02-15;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2012-02-17;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-02-20;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
2012-02-21;DE;3578.27;BK-R93R-52;Road-150 Red;52;H;High
2012-02-29;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-02-29;DE;8159.976;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-02-29;DE;4293.924;BK-R93R-52;Road-150 Red;52;H;High
2012-02-29;DE;6119.982;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-02-29;DE;4293.924;BK-R93R-48;Road-150 Red;48;H;High
2012-02-29;DE;4049.988;BK-M82B-48;Mountain-100 Black;48;H;High
2012-02-29;DE;4079.988;BK-M82S-48;Mountain-100 Silver;48;H;High
2012-02-29;DE;2146.962;BK-R93R-48;Road-150 Red;48;H;High
2012-03-08;DE;3578.27;BK-R93R-48;Road-150 Red;48;H;High
