OrderDate;Country;LineTotal;ProductName;ProductNumber;Class
2013.01.01 0:00;AU;2049,0982;Mountain-200 Black, 46;BK-M68B-46;H 
2013.01.01 0:00;AU;2049,0982;Mountain-200 Black, 46;BK-M68B-46;H 
2013.01.01 0:00;AU;2443,35;Road-250 Red, 52;BK-R89R-52;H 
2013.01.01 0:00;AU;2181,5625;Road-250 Black, 58;BK-R89B-58;H 
2013.01.01 0:00;DE;2443,35;Road-250 Red, 48;BK-R89R-48;H 
2013.01.01 0:00;DE;2443,35;Road-250 Red, 52;BK-R89R-52;H 
2013.01.01 0:00;GB;2181,5625;Road-250 Black, 48;BK-R89B-48;H 
2013.01.01 0:00;US;2049,0982;Mountain-200 Black, 38;BK-M68B-38;H 
2013.01.01 0:00;US;782,99;Road-650 Black, 48;BK-R50B-48;L 
2013.01.01 0:00;AU;1000,4375;Road-550-W Yellow, 40;BK-R64Y-40;M 
2013.01.02 0:00;DE;2071,4196;Mountain-200 Silver, 42;BK-M68S-42;H 
2013.01.02 0:00;FR;2049,0982;Mountain-200 Black, 42;BK-M68B-42;H 
2013.01.02 0:00;FR;2049,0982;Mountain-200 Black, 42;BK-M68B-42;H 
2013.01.02 0:00;AU;782,99;Road-650 Black, 52;BK-R50B-52;L 
2013.01.02 0:00;AU;782,99;Road-650 Black, 62;BK-R50B-62;L 
2013.01.02 0:00;DE;782,99;Road-650 Red, 58;BK-R50R-58;L 
2013.01.02 0:00;GB;782,99;Road-650 Black, 60;BK-R50B-60;L 
2013.01.02 0:00;DE;1000,4375;Road-550-W Yellow, 44;BK-R64Y-44;M 
2013.01.02 0:00;GB;1000,4375;Road-550-W Yellow, 44;BK-R64Y-44;M 
2013.01.03 0:00;AU;2071,4196;Mountain-200 Silver, 38;BK-M68S-38;H 
2013.01.03 0:00;AU;2049,0982;Mountain-200 Black, 38;BK-M68B-38;H 
2013.01.03 0:00;AU;2181,5625;Road-250 Black, 48;BK-R89B-48;H 
2013.01.03 0:00;AU;2443,35;Road-250 Red, 48;BK-R89R-48;H 
2013.01.03 0:00;AU;2181,5625;Road-250 Black, 48;BK-R89B-48;H 
2013.01.03 0:00;AU;2181,5625;Road-250 Red, 58;BK-R89R-58;H 
2013.01.03 0:00;AU;2181,5625;Road-250 Black, 58;BK-R89B-58;H 
2013.01.03 0:00;CA;2071,4196;Mountain-200 Silver, 46;BK-M68S-46;H 
2013.01.03 0:00;GB;2443,35;Road-250 Red, 44;BK-R89R-44;H 
2013.01.03 0:00;GB;2443,35;Road-250 Red, 52;BK-R89R-52;H 
2013.01.03 0:00;GB;2181,5625;Road-250 Black, 48;BK-R89B-48;H 
2013.01.03 0:00;US;2071,4196;Mountain-200 Silver, 42;BK-M68S-42;H 
2013.01.03 0:00;AU;782,99;Road-650 Red, 44;BK-R50R-44;L 
2013.01.03 0:00;FR;782,99;Road-650 Red, 52;BK-R50R-52;L 
2013.01.03 0:00;US;782,99;Road-650 Red, 62;BK-R50R-62;L 
2013.01.03 0:00;AU;1000,4375;Road-550-W Yellow, 44;BK-R64Y-44;M 
2013.01.03 0:00;US;1000,4375;Road-550-W Yellow, 44;BK-R64Y-44;M 
2013.01.04 0:00;AU;2071,4196;Mountain-200 Silver, 38;BK-M68S-38;H 
2013.01.04 0:00;AU;2181,5625;Road-250 Black, 58;BK-R89B-58;H 
2013.01.04 0:00;CA;2181,5625;Road-250 Black, 58;BK-R89B-58;H 
2013.01.04 0:00;FR;2181,5625;Road-250 Black, 52;BK-R89B-52;H 
